target,condition,n_hit,marked_coef,marked_OR,marked_p,unmarked_coef,unmarked_OR,unmarked_p
SETDB1,Rest,189,0.242053268187561,1.2738620473313993,5.4656266616017514e-12,0.29753417901710294,1.3465343977884818,1.2740935200217427e-05
SETDB1,Stim8hr,116,0.19505487119274492,1.2153776738827071,3.056314313164025e-09,0.3326477389592796,1.3946559289807312,5.842787124818089e-05
SETDB1,Stim48hr,130,0.24728146706547155,1.2805394917514485,5.859587353413058e-14,0.3300827194613501,1.3910831933571093,2.232961409154016e-05
PPHLN1,Rest,73,0.2708437826115493,1.3110702424168137,5.883666918109165e-14,0.30151317221962437,1.351902922583031,0.006909609835579033
PPHLN1,Stim8hr,35,0.3459058832709761,1.413269597246417,2.384711481430272e-19,0.1139666322451152,1.120714728525883,0.5028604016544647
PPHLN1,Stim48hr,69,0.3980082380285056,1.4888562950973567,1.3997468651735128e-21,0.013640732489906904,1.0137341917487614,0.916620505943269
TASOR,Rest,63,0.3008798280350058,1.3510469738125441,7.49576755522066e-14,0.09583701190378553,1.1005796679898514,0.46094349652382227
TASOR,Stim8hr,34,0.32715647206083814,1.3870184898431765,1.4873269908785241e-18,0.384835652742258,1.4693728142035467,0.013456474656448782
TASOR,Stim48hr,54,0.29435098116650116,1.3422549272020323,5.364610268438716e-17,0.17225516633397142,1.1879809272806026,0.2046730585073937
