target,condition,n_hit,frac_ERV,fisher_OR,fisher_p
CD28,Stim48hr,155,0.45161290322580644,1.7084967320261437,0.0007318197315355293
CD28,Stim8hr,147,0.40816326530612246,1.4279990286546866,0.022256396414233635
ITK,Stim48hr,392,0.36989795918367346,1.2172124474932433,0.036527684873197616
ITK,Stim8hr,821,0.36662606577344703,1.2055836055836056,0.0068858027593597096
LCK,Rest,29,0.5517241379310345,2.3650838346345835,0.016612214159785796
LCK,Stim48hr,331,0.40483383685800606,1.4136720808560805,0.0014913309044805195
LCK,Stim8hr,1133,0.36187113857016767,1.1836365570805405,0.004865718393688307
PTPRC,Rest,11,0.36363636363636365,1.0964558523509038,0.5538495136135164
PTPRC,Stim48hr,769,0.36280884265279584,1.1842347779617248,0.0157384358493104
PTPRC,Stim8hr,619,0.40064620355411956,1.3969331524609183,4.61426874099757e-05
VAV1,Rest,22,0.4090909090909091,1.3288119558686287,0.32611312821168803
VAV1,Stim48hr,918,0.369281045751634,1.2216093162559611,0.0026426153555906694
VAV1,Stim8hr,1648,0.345873786407767,1.1014917660399839,0.04074544869837029
ZAP70,Rest,22,0.45454545454545453,1.5999002659574468,0.1874913208994186
ZAP70,Stim48hr,1460,0.3376712328767123,1.057251211062844,0.1751756262584855
ZAP70,Stim8hr,2522,0.33346550356859633,1.0382780348646465,0.2118162845658881
