target,condition,n_genes_tested,n_DE,n_up,n_down
ATF7IP,Rest,13019,5,4,1
ATF7IP,Stim48hr,13550,18,10,8
ATF7IP,Stim8hr,13152,1,0,1
PPHLN1,Rest,12914,144,107,37
PPHLN1,Stim48hr,13428,176,159,17
PPHLN1,Stim8hr,13037,114,84,30
SETDB1,Rest,13034,422,318,104
SETDB1,Stim48hr,13541,320,240,80
SETDB1,Stim8hr,13188,325,240,85
SUV39H1,Rest,12902,2,1,1
SUV39H1,Stim48hr,13427,2,1,1
SUV39H1,Stim8hr,13031,7,5,2
SUV39H2,Rest,12910,5,1,4
SUV39H2,Stim48hr,13438,8,0,8
SUV39H2,Stim8hr,13028,4,0,4
TASOR,Rest,12939,105,85,20
TASOR,Stim48hr,13468,112,81,31
TASOR,Stim8hr,13056,74,65,9
TRIM28,Rest,12898,25,23,2
TRIM28,Stim48hr,13430,23,22,1
TRIM28,Stim8hr,13028,23,20,3
