target,condition,stratum,direction,n_hit,a,b,c,d,fisher_OR,fisher_p,logit_coef,logit_OR,logit_p,logit_n,perm_obs,perm_null_mean,perm_p,perm_enrichment
SETDB1,Rest,all,down,104,39,65,3677,7464,1.217949415284199,0.19260186815196187,0.11601768166458003,1.123015728745139,0.5749244607750202,11245,39.0,37.648,0.4337132573485303,1.0359116022099446
SETDB1,Rest,non_KZNF,down,101,38,63,3342,7363,1.328897248107302,0.10257718890745957,0.23690490602306358,1.2673205974893291,0.2604051977891847,10806,38.0,33.8302,0.20735852829434112,1.1232567351065026
SETDB1,Stim8hr,all,down,85,22,63,3925,7875,0.7006369426751592,0.9426093092207762,-0.3810128194213383,0.6831691317308193,0.1288213937828098,11885,22.0,28.8302,0.9604079184163168,0.7630887055934402
SETDB1,Stim8hr,non_KZNF,down,84,22,62,3571,7770,0.7720797463437548,0.8781142559250358,-0.27485786555927394,0.7596800922567714,0.27533243053439027,11425,22.0,26.4506,0.8852229554089183,0.831739166597355
SETDB1,Stim48hr,all,down,80,24,56,3923,7941,0.8675212119005135,0.7558915024935682,-0.2690967118481961,0.7640693575151287,0.27487417596136254,11944,24.0,29.5896,0.9246150769846031,0.8110957904128477
SETDB1,Stim48hr,non_KZNF,down,80,24,56,3574,7839,0.9400031976976577,0.6407454276393196,-0.1866891557654632,0.8297016042650275,0.4498690535182457,11493,24.0,27.1532,0.8136372725454909,0.8838737239073111
PPHLN1,Rest,all,down,37,15,22,3739,7615,1.3886187361715578,0.2076736052008253,0.30994465850542924,1.363349662236456,0.3635550258639465,11391,15.0,13.5328,0.36372725454909016,1.1084180657365807
PPHLN1,Rest,non_KZNF,down,35,14,21,3401,7512,1.472508085857101,0.17190830356009118,0.3634265016635283,1.4382491441009337,0.3021188701245855,10948,14.0,11.8198,0.26614677064587083,1.1844532056379973
PPHLN1,Stim8hr,all,down,30,9,21,3703,7514,0.8696423749083755,0.7011641003787905,-0.18994297069842955,0.8270062961900007,0.6384135125358401,11247,9.0,10.114,0.7344531093781244,0.8898556456397073
PPHLN1,Stim8hr,non_KZNF,down,29,8,21,3370,7414,0.8380952380952381,0.7286717357959829,-0.23999484096363236,0.7866319193187647,0.5695603666823373,10813,8.0,9.0558,0.7314537092581483,0.8834117361249144
PPHLN1,Stim48hr,all,down,17,4,13,3994,8093,0.6234736720465314,0.8641783800492392,-0.5656195762452174,0.5680081133789021,0.32768266674750357,12104,4.0,5.93,0.9000199960007998,0.6745362563237775
PPHLN1,Stim48hr,non_KZNF,down,16,3,13,3646,7990,0.5057175408245074,0.9186117005452941,-0.8471344974412195,0.42864144698161577,0.19042068925271927,11652,3.0,5.7576,0.9616076784643072,0.5210504376823677
TASOR,Rest,all,down,20,11,9,3677,7466,2.481672861330191,0.03515947941790723,0.8624135247630862,2.3688711289256226,0.0585859118990384,11163,11.0,7.084,0.05358928214357129,1.5527950310559007
TASOR,Rest,non_KZNF,down,15,6,9,3350,7363,1.465273631840796,0.3169190387443742,0.34253456151112643,1.4085130331598728,0.5217856944773576,10728,6.0,5.0778,0.3945210957808438,1.1816140848398913
TASOR,Stim8hr,all,down,9,2,7,3906,7852,0.5743544729719845,0.855313361313237,-0.6648789400580213,0.5143357893986797,0.4093195093244467,11767,,,,
TASOR,Stim8hr,non_KZNF,down,7,1,6,3559,7749,0.36288283225625173,0.9290225292391303,-1.164209683574675,0.3121692770750053,0.28300337921891205,11315,,,,
TASOR,Stim48hr,all,down,31,13,18,3915,7934,1.4636299134383426,0.1933437032289608,0.24513625415034174,1.277795406271558,0.5033959186485809,11880,13.0,11.7838,0.386122775444911,1.1032094909961134
TASOR,Stim48hr,non_KZNF,down,26,9,17,3572,7833,1.160941308214215,0.4302244159157681,0.011475818975018308,1.0115419187934525,0.9779726646625038,11431,9.0,9.5248,0.6612677464507098,0.9449017302200571
SUV39H2,Rest,all,down,4,0,4,4302,8580,0.0,1.0,-35.67079357803217,3.223822959636767e-16,0.9999993520132887,12886,,,,
SUV39H2,Rest,non_KZNF,down,4,0,4,3933,8468,0.0,1.0,-24.26191877327655,2.905243621638425e-11,0.9998694557246919,12405,,,,
SUV39H2,Stim8hr,all,down,4,2,2,4298,8702,2.024662633783155,0.40266765318549075,0.60925030441403,1.839052152557693,0.5489969882479495,13004,,,,
SUV39H2,Stim8hr,non_KZNF,down,4,2,2,3929,8591,2.1865614660218884,0.3728447574163851,0.6415602335474002,1.8994421419247631,0.5287590842804555,12524,,,,
SUV39H2,Stim48hr,all,down,8,3,5,4442,8963,1.210670868977938,0.5270362953072687,0.37196308433177216,1.4505794311957259,0.6197771573637603,13413,,,,
SUV39H2,Stim48hr,non_KZNF,down,8,3,5,4062,8849,1.3070901033973412,0.4853099823939931,0.42502113291672244,1.5296227447118969,0.5712492781429308,12919,,,,
