target,condition,n_kd,mean_cpm_kd,mean_cpm_ntc,log2fc_ontarget,pct_knockdown
ATF7IP,Rest,8,120.47,142.78,-0.243,15.6
ATF7IP,Stim8hr,8,53.83,76.57,-0.5,29.7
ATF7IP,Stim48hr,8,96.25,133.76,-0.471,28.0
PPHLN1,Rest,8,26.41,182.51,-2.743,85.5
PPHLN1,Stim8hr,8,36.05,186.3,-2.338,80.7
PPHLN1,Stim48hr,8,32.1,173.69,-2.4,81.5
SETDB1,Rest,8,11.99,52.29,-2.036,77.1
SETDB1,Stim8hr,8,18.42,59.53,-1.64,69.1
SETDB1,Stim48hr,8,16.86,57.73,-1.718,70.8
SUV39H1,Rest,6,21.56,52.56,-1.248,59.0
SUV39H1,Stim8hr,6,25.73,54.77,-1.061,53.0
SUV39H1,Stim48hr,6,30.69,58.94,-0.919,47.9
SUV39H2,Rest,6,5.75,63.6,-3.259,91.0
SUV39H2,Stim8hr,7,19.05,120.27,-2.597,84.2
SUV39H2,Stim48hr,7,8.98,94.16,-3.254,90.5
TASOR,Rest,7,10.7,100.96,-3.123,89.4
TASOR,Stim8hr,7,11.34,103.19,-3.078,89.0
TASOR,Stim48hr,7,8.39,106.98,-3.523,92.2
TRIM28,Rest,4,12.67,47.08,-1.814,73.1
TRIM28,Stim8hr,4,29.09,82.62,-1.475,64.8
TRIM28,Stim48hr,4,15.24,56.24,-1.818,72.9
