candidate,A_phenotype,A_note,B_erv_specificity,B_note,C_autoimmune_genetics,C_note,D_selectivity,D_note,E_tractability,E_note,sA,sB,sC,sD,sE,druggability_score,is_candidate
KDM4C,n/a (eraser),not perturbed — mechanistic inference from SETDB1/H3K9me3 axis,directly measured (antagonism),"ERV-proximal r=-0.27 vs SETDB1 (66% opposite-sign); directly perturbed, not inferred",weak/nominal,"maps near a published interferon disorder locus (n=3 set, OR 11.6 p=0.063 borderline)",good,"JMJD2 eraser, catalytic pocket, family-selective chemistry feasible",Mature sub-100nM series (preclinical),best 1.3 nM,,2.5,1.5,3.0,3,7.95,True
KDM4B,n/a (eraser),not perturbed,not ERV-validated (our data),"ERV-proximal r~0 (no antagonism); rationale is the SEPARATE cGAS/IFN axis (published cGAS literature), NOT our ERV data",weak/nominal,"maps near a published interferon disorder locus (n=3 set, OR 11.6 p=0.063 borderline)",good,"JMJD2 eraser, catalytic pocket",Mature sub-100nM series (preclinical),best 4.0 nM,,0.5,1.5,3.0,3,6.75,True
KDM4A,n/a (eraser),not perturbed in Perturb-seq,directly measured (antagonism),"ERV-proximal r=-0.27 vs SETDB1 (77% opposite); supporting mechanism, weak chemistry (700 nM)",none,ALS-only (not autoimmune),good,JMJD2 eraser,Weak/tool chemical matter,best 700.0 nM,,2.5,0.5,3.0,1,5.65,True
SETDB1,strong,"~318 up @Rest, largest module effect",strong,"non-KZNF OR 1.91, 3/3 sig (primary)",none,no autoimmune genetic-evidence association,poor,"pan-essential, undruggable selectively",Sub-100nM probe (preclinical),best 80.0 nM,3.0,3.0,0.5,0.5,2,5.65,True
PPHLN1,substantial,"HUSH, 114-176 up-genes",strong,"non-KZNF OR 2.83, 3/3 sig",none,no autoimmune genetic-evidence association,moderate,HUSH-specific,Weak/tool chemical matter,best 335.86 nM,2.5,3.0,0.5,2.0,1,5.95,True
TASOR,substantial,"HUSH, 74-112 up-genes",strong,"non-KZNF OR 2.94, 3/3 sig",none,no autoimmune genetic-evidence association,moderate,HUSH-specific,Undrugged (no ChEMBL target),no chemical matter,2.5,3.0,0.5,2.0,0,4.95,True
TRIM28,modest,~20 up-genes; Th1/Th2 signal was Th2-down,null/underpowered,"OR 1.78, 0/3 sig",none,no autoimmune genetic-evidence association,poor,broadly essential scaffold,Sub-100nM probe (preclinical),best 78.69 nM,1.5,0.5,0.5,0.5,2,3.55,True
ATF7IP,near-null,weak KD (16-30%),null/underpowered,"OR 4.87, 0/3 sig",none,no autoimmune genetic-evidence association,moderate,SETDB1 cofactor,Undrugged (no ChEMBL target),no chemical matter,0.5,0.5,0.5,2.0,0,2.65,True
KZFP_layer,strong,158 KZFPs de-repressed by SETDB1 KD,confounder,KZFPs ARE the direct SETDB1 targets — drive the 'all'-stratum signal,depleted,KZFP set DEPLETED for autoimmune GWAS (OR 0.35); no genetic support,high,individual KZFPs are cell-type/lineage-restricted DNA-binding factors,undrugged,0/9 have ChEMBL target; ZFPs classically undruggable,3.0,1.0,0.0,3.0,0,4.800000000000001,True
SUV39H1,weak/ambiguous,few up-genes,correctly null (dissociation),"OR 1.09, 0/3 — SUV39 dissociation held",none,no autoimmune genetic-evidence association,moderate,,Sub-100nM probe (preclinical),best 66.0 nM,0.5,,0.5,2.0,2,4.3500000000000005,False
SUV39H2,opposite,Th2-down; moved opposite core module,correctly null (dissociation),"OR 0.00, 0/3 — SUV39 dissociation held",none,no autoimmune genetic-evidence association,moderate,,Mature sub-100nM series (preclinical),best 1.77 nM,1.0,,0.5,2.0,3,5.550000000000001,False
