Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Interferon Gamma Response,21/200,9.123076421550848e-15,3.01061521911178e-13,0,0,11.382211405498092,367.96378111959666,IFITM3;CD86;ZBP1;LGALS3BP;RTP4;CD274;SAMD9L;IFITM2;CFH;GZMA;FGL2;IFI44;DDX60;IFI44L;APOL6;IFI27;ST3GAL5;CD38;XAF1;GBP4;LY6E
MSigDB_Hallmark_2020,Interferon Alpha Response,15/97,2.2003077824229442e-13,3.6305078409978576e-12,0,0,17.320884146341463,504.8173235924769,IFITM3;LGALS3BP;RTP4;IFITM1;SAMD9L;IFITM2;SAMD9;IFI44;TMEM140;DDX60;IFI44L;IFI27;LAMP3;GBP4;LY6E
Reactome_2022,Immune System R-HSA-168256,45/1943,1.6608954575058207e-06,0.0007772990741127,0,0,2.3814393625460273,31.69256098970276,IFITM3;CD86;CD274;IFITM1;IFITM2;SERPINA1;CFH;KLRB1;NCF4;FGL2;IFI6;LY96;C4BPB;ICAM5;AGPAT2;TNFSF13B;C3;CCND1;ITGAX;CEACAM21;ENPP4;GBP4;MAPK3;ZBP1;GBP5;MYLIP;BTN3A1;SIGLEC12;TNFSF15;PLAUR;LYZ;OSMR;FBXO32;TLR1;RNF125;IFI27;KIF26A;NEDD4;IL3RA;TLR6;KBTBD7;XAF1;PIK3AP1;SIGLEC6;CRLF2
MSigDB_Hallmark_2020,Complement,9/200,0.0004239229941713,0.0034973647019134,0,0,4.3126192689729415,33.491623290144844,C3;DPP4;GZMK;SERPINA1;CFH;CPQ;GZMA;PLAUR;C4BPB
MSigDB_Hallmark_2020,Inflammatory Response,9/200,0.0004239229941713,0.0034973647019134,0,0,4.3126192689729415,33.491623290144844,TLR1;RTP4;ADGRE1;IFITM1;TNFSF15;LAMP3;PLAUR;OSMR;LY6E
GO_Biological_Process_2021,cellular response to type I interferon (GO:0071357),6/65,8.572375617943773e-05,0.0155649848720093,0,0,9.240646723424195,86.5329326231833,IFITM3;IFITM1;IFITM2;IFI27;IFI6;XAF1
GO_Biological_Process_2021,defense response to symbiont (GO:0140546),8/124,7.65303610932025e-05,0.0155649848720093,0,0,6.306655974338412,59.77336916543464,IFITM3;ZBP1;RTP4;IFITM1;IFITM2;IFI27;IFI6;IFI44L
GO_Biological_Process_2021,negative regulation of viral life cycle (GO:1903901),4/20,6.335163133161517e-05,0.0155649848720093,0,0,22.55821917808219,218.06601648692796,IFITM3;IFITM1;IFITM2;LY6E
GO_Biological_Process_2021,response to interferon-alpha (GO:0035455),4/18,4.071839247234783e-05,0.0155649848720093,0,0,25.783431180691455,260.6403397449793,IFITM3;IFITM1;IFITM2;LAMP3
GO_Biological_Process_2021,negative regulation of viral entry into host cell (GO:0046597),4/17,3.194850666284066e-05,0.0155649848720093,0,0,27.768177028451,287.43909444769287,IFITM3;IFITM1;IFITM2;LY6E
GO_Biological_Process_2021,type I interferon signaling pathway (GO:0060337),6/65,8.572375617943773e-05,0.0155649848720093,0,0,9.240646723424195,86.5329326231833,IFITM3;IFITM1;IFITM2;IFI27;IFI6;XAF1
GO_Biological_Process_2021,response to interferon-beta (GO:0035456),5/28,1.3136446751828098e-05,0.0155649848720093,0,0,19.69884323893099,221.41736178997496,IFITM3;IFITM1;IFITM2;XAF1;IRGM
GO_Biological_Process_2021,defense response to virus (GO:0051607),8/133,0.0001250378801053,0.0198653932017413,0,0,5.849897674418605,52.572409291364835,IFITM3;ZBP1;RTP4;IFITM1;IFITM2;IFI27;IFI6;IFI44L
Reactome_2022,Interferon Signaling R-HSA-913531,10/200,8.63409184330605e-05,0.0202037749133361,0,0,4.839881393624907,45.28777171919672,IFITM3;GBP5;IFITM1;IFITM2;IFI27;NEDD4;IFI6;XAF1;GBP4;MAPK3
Reactome_2022,Interferon Alpha/Beta Signaling R-HSA-909733,6/72,0.0001519830726016,0.0237093593258529,0,0,8.257645580226225,72.59908457846701,IFITM3;IFITM1;IFITM2;IFI27;IFI6;XAF1
GO_Biological_Process_2021,positive regulation of DNA methylation-dependent heterochromatin assembly (GO:0090309),3/11,0.0002112319364638,0.0298306434717291,0,0,33.69715909090909,285.16402182337157,ATF7IP;MORC2;RESF1
MSigDB_Hallmark_2020,Coagulation,6/138,0.0045581408792011,0.0300837298027274,0,0,4.114997905320486,22.183297120650384,C3;DPP4;SERPINA1;CFH;CPQ;CRIP2
MSigDB_Hallmark_2020,KRAS Signaling Up,7/200,0.0072834697598904,0.0343363574394834,0,0,3.2884283246977546,16.186130621870305,SPON1;CFH;GALNT3;GFPT2;PLAUR;LY96;KCNN4
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,7/199,0.0070938397861218,0.0343363574394834,0,0,3.305724344135802,16.35847115425183,IFITM3;CD86;SPRED2;IL3RA;FGL2;CST7;GBP4
GO_Biological_Process_2021,response to interferon-gamma (GO:0034341),6/80,0.0002714911873469,0.0345065299117954,0,0,7.361937974841201,60.45314910102734,IFITM3;GBP5;IFITM1;IFITM2;GBP4;GBP3
GO_Biological_Process_2021,negative regulation of viral genome replication (GO:0045071),5/54,0.0003340708668305,0.0381454677804321,0,0,9.234225800411908,73.91219687848658,IFITM3;IFITM1;IFITM2;MORC2;RESF1
GO_Biological_Process_2021,positive regulation of heterochromatin assembly (GO:0031453),3/13,0.000360146037266,0.0381454677804321,0,0,26.955,213.72622059913857,ATF7IP;MORC2;RESF1
GO_Biological_Process_2021,positive regulation of cytokine production (GO:0001819),12/335,0.0004007666778333,0.039182649809702,0,0,3.425351782019867,26.793550876545943,C3;TLR1;CD86;ZBP1;GBP5;CD274;BTN3A1;AIRE;HHLA2;TLR6;AGPAT2;CRLF2
GO_Biological_Process_2021,regulation of DNA methylation-dependent heterochromatin assembly (GO:0090308),3/14,0.0004546060078725,0.0412717311432876,0,0,24.503305785123967,188.57938764193108,ATF7IP;MORC2;RESF1
Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,18/702,0.0009271545400435,0.0576876602532277,0,0,2.4509627727856227,17.116029644380667,IFITM3;CD86;GBP5;IFITM1;IFITM2;TNFSF15;IFI6;OSMR;TNFSF13B;IFI27;CCND1;NEDD4;IL3RA;ITGAX;XAF1;GBP4;CRLF2;MAPK3
Reactome_2022,MyD88 Deficiency (TLR2/4) R-HSA-5602498,3/17,0.0008285471879489,0.0576876602532277,0,0,19.249675324675323,136.59255391850093,TLR1;LY96;TLR6
Reactome_2022,Adaptive Immune System R-HSA-1280218,19/733,0.0005883863720224,0.0576876602532277,0,0,2.4866603504146756,18.49609482229765,CD86;MYLIP;CD274;IFITM1;BTN3A1;KLRB1;SIGLEC12;NCF4;LY96;ICAM5;FBXO32;C3;TLR1;KIF26A;NEDD4;TLR6;KBTBD7;PIK3AP1;SIGLEC6
Reactome_2022,IRAK4 Deficiency (TLR2/4) R-HSA-5603041,3/18,0.0009861138504825,0.0576876602532277,0,0,17.965454545454545,124.3521827629972,TLR1;LY96;TLR6
Reactome_2022,Regulation Of TLR By Endogenous Ligand R-HSA-5686938,3/18,0.0009861138504825,0.0576876602532277,0,0,17.965454545454545,124.3521827629972,TLR1;LY96;TLR6
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,4/87,0.0163045234474892,0.0672561592208932,0,0,4.333828464543104,17.839393137614877,IL3RA;CD38;OSMR;CRLF2
GO_Biological_Process_2021,regulation of viral entry into host cell (GO:0046596),4/39,0.0009111938269377,0.0772084902691933,0,0,10.302413568166992,72.12467248042788,IFITM3;IFITM1;IFITM2;LY6E
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,6/200,0.0249267075213228,0.0913979275781836,0,0,2.7910589576701983,10.304074607210543,CCND1;GFPT2;NINJ1;PLAUR;ACKR3;ATF3
